consti_no,consti_name,votes,percentage,margin,lat,lng
131,Natham,107762,47,-11932,10.277899120048398,78.14524849753299
132,Dindigul,90595,46,-17747,10.386123009419402,78.00841534986769
181,Thirumayam,69967,40,1382,10.291251656638702,78.74495469431673
185,Tiruppattur,66308,31,37374,10.215817162382189,78.59820543395108
182,Alangudi,62088,36,25847,10.303339764418661,79.01036967433862
188,Melur,83344,45,-35162,10.093083467677952,78.36189576696728
130,Nilakkottai (SC),91461,49,-27618,10.16146976371868,77.83903814449212
199,Periyakulam,70930,35,21321,10.11288451430894,77.60655866374412
183,Aranthangi,50942,30,30893,10.040121256091135,79.10008697790923
200,Bodinayakanur,100050,46,-11021,10.00647642719539,77.37993202297244
190,Sholavandan(SC),67195,38,17045,10.073144377361183,78.02270711554561
184,Karaikudi,54365,25,21589,9.94629353192101,78.85780956792229
198,Andipatti,85003,40,8538,9.80794336844175,77.49251166401072
189,Madurai East,73125,30,49604,9.969608721715185,78.1915676397505
197,Usilampatti,71255,33,-7477,9.825752700476778,77.74689386104188
186,Sivaganga,82153,40,-11253,9.862969417554632,78.49916593072918
194,Madurai West,83883,41,-9121,9.942386282500985,78.07481871941604
201,Cumbum,62387,30,42413,9.834264504403416,77.29427744588604
196,Thirumangalam,100338,45,-14087,9.811136248139372,77.9380283747784
191,Madurai North,50094,31,22916,9.944402953283708,78.1388475930892
195,Thiruparankundram,103683,43,-29489,9.860491570379702,78.07962696888285
193,Madurai Central,39029,26,34176,9.92375926842555,78.11237814826501
192,Madurai South,56297,38,6515,9.920572945684961,78.14184569838382
210,Tiruvadanai,65512,32,13852,9.640020096650199,78.88232364064513
187,Manamadurai(SC),75273,37,14091,9.70426883363981,78.42864085873734
208,Tiruchuli,41233,23,60992,9.538428590007465,78.29043995331301
203,Srivilliputhur(SC),70475,38,-12738,9.567511392436865,77.61531771402957
206,Virudhunagar,51958,32,21339,9.54408970357701,77.84129470494493
209,Paramakudi (SC),71579,39,13285,9.488847574356123,78.69282406572887
207,Aruppukkottai,52006,30,39034,9.405356578643245,78.0435049356752
205,Sivakasi,61628,33,17319,9.456705003583119,77.78412016892048
202,Rajapalayam,70260,39,3898,9.430858295523956,77.46264090001868
212,Mudhukulathur,81180,36,20721,9.096768102266163,78.4985777860924
204,Sattur,62995,32,11179,9.35244374613202,77.78879277395413
220,Vasudevanallur(SC),66363,37,2367,9.259296613597877,77.45025666302163
211,Ramanathapuram,60603,28,50479,9.16634120348382,78.83290750136686
213,Vilathikulam,51799,30,38549,8.948388870200228,78.27938641440326
219,Sankarankovil(SC),66050,36,5297,9.121554378781605,77.58037939013272
218,Kovilpatti,68556,37,-31176,9.070431701661755,77.83608477814624
221,Kadayanallur,88474,43,-24349,9.071422576041096,77.30977743971181
222,Tenkasi,88945,41,370,8.980258389712953,77.44145295048732
217,Ottapidaram(SC),64600,36,8510,8.842579658274667,78.21236234040526
224,Tirunelveli,92282,46,-23107,8.822166346899417,77.69836734760787
223,Alangulam,74153,36,-3539,8.830870469496626,77.44514833705638
225,Ambasamudram,85211,47,-16915,8.712391207937936,77.38407391465577
227,Nanguneri,59416,30,16486,8.608697808956771,77.6990038231273
214,Thoothukkudi,42004,22,50310,8.804696953651524,78.17234432978384
226,Palayamkottai,36976,22,52141,8.72125379647556,77.74275522979721
216,Srivaikuntam,59471,36,17372,8.524688536197027,77.90352891658549
215,Tiruchendur,63011,36,25263,8.51128628508402,78.06815933446552
233,Vilavancode,58804,35,28669,8.43198526675672,77.25147105822322
232,Padmanabhapuram,60859,35,26885,8.128761339464313,77.32427379244183
229,Kanniyakumari,109745,48,-16213,8.283042465087727,77.47736070550857
228,Radhapuram,76406,40,5925,8.292549012277158,77.7398767636816
234,Killiyoor,46141,27,55400,8.267418055748715,77.20014943582427
231,Colachel,65849,35,24832,8.147309196112554,77.30870746554339
230,Nagercoil,88804,48,-11669,8.175000770269373,77.41227997960331
169,Nannilam,103637,46,-4424,10.902022327468496,79.5890511317117
